Course ID;Course Name;Course Short Name;Subject Name;University Name ;City Name;Teaching languages Instruction;Required German language;Required English language;Beginning;Duration of Programme;Tuition Fees;Course Details Link
4721;Plant Sciences;Plant Sciences;Biology;University of Bonn;Bonn;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4721/
5328;Plant Sciences (Master of Science);Plant Sciences (MSc);Biology;Ludwig-Maximilians-Universität München;München;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5328/
8373;Plastics Engineering (Specialisation in the International Bachelor of Engineering);Plastics Engineering;Engineering in general;Rosenheim Technical University of Applied Sciences;Rosenheim;German, English;None;None;Summer semester;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8373/
5450;Political Science – Master of Art;Political Science – MA;Political Science;University of Cologne;Köln;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5450/
6220;Popular Music (BMus);Popular Music (BMus);Music, Musicology;SRH Berlin University of Applied Sciences;Berlin;English;None;None;Winter semester, Summer semester;7 semesters;4500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6220/
8295;Population-Based Medicine;Population-Based Medicine;Medicine in general;University of Tübingen;Tübingen;English;None;None;Summer semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8295/
8406;Post-Graduate Master of Science in Epidemiology;MSc Epidemiology;Mathematics, Natural Sciences in general;Humboldt-Universität zu Berlin;Berlin;English;None;None;Winter semester;2 semesters, 4 semesters;2550;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8406/
4191;Postgraduate International Programme in Physics and Electrical Engineering PIP;Physics and Electrical Engineering (PIP);Physics, Astronomy;University of Bremen;Bremen;German, English;None;None;Any time;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4191/
3913;Postgraduate Programme in Environmental Physics – Atmosphere, Ocean, Ice, Land, Climate – PEP;Environmental Physics (PEP);Physics, Astronomy;University of Bremen;Bremen;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3913/
7049;Potsdam’s History Academy — Modern German History Through the Lens of Potsdam;PHiA — Modern German History;History;University of Potsdam;Potsdam;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7049/
3883;Power Engineering;Power Engineering;Engineering in general;Brandenburg University of Technology Cottbus-Senftenberg;Cottbus;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3883/
6256;Power Engineering;Power Engineering;Electrical Engineering;University of Duisburg-Essen;Duisburg;German, English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6256/
3617;Power Engineering and Renewable Energies (BSc Electrical Engineering);Electrical Engineering – Power Engineering & Renewable Energies;Electrical Engineering;Hochschule Mannheim - University of Applied Sciences;Mannheim;English, German;None;None;Winter semester;7 semesters;1500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3617/
6546;Pre-College Fulda;Pre-College Fulda;None;Fulda University of Applied Sciences;Fulda;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6546/
8316;Pre-Semester Preparatory Course: Propädeutikum – Vorbereitung auf das Studium;Pre-Semester Preparatory Course: Propädeutikum;None;Hamburg University of Applied Sciences;Hamburg;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8316/
5154;Pre-Study Fulda;Pre-Study Fulda;None;Fulda University of Applied Sciences;Fulda;German, English;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5154/
7624;Pre-Study Programme – STEPS Frankfurt*International;Pre-Study Programme STEPS Frankfurt;None;Frankfurt University of Applied Sciences;Frankfurt am Main;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7624/
7798;Preparation for the DSH and TestDaF Exam;Preparation for the DSH and TestDaF Exam;Preparatory Course for German Language Examinations;University of Bayreuth;Bayreuth;German;C1, C2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7798/
6341;Preparation for the German Language Examination (TestDaF);TestDaF Preparation;German Language Course (including Literature and Culture Studies);Internationale Hochschule SDI München/International University SDI München;München;German;B1, B2, C1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6341/
8398;Preparatory Courses – German as a Foreign Language;Preparatory Courses – German as a Foreign Language;Preparatory Course for German Language Examinations;Technische Universität Braunschweig;Braunschweig;German;A1, A2, B1, B2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8398/
8283;Preparatory Semester: Pre-Bachelor's Programme at TU Darmstadt;Pre-Bachelor's Programme at TU Darmstadt;None;Technical University of Darmstadt;Darmstadt;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8283/
6156;Print Media Technologies;Print Media Technologies;Engineering in general;Hochschule der Medien;Stuttgart;English;None;None;Winter semester;7 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6156/
8375;Process Automation (Specialisation in the International Bachelor of Engineering);Process Automation;Engineering in general;Rosenheim Technical University of Applied Sciences;Rosenheim;German, English;None;None;Summer semester;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8375/
4068;Process Engineering and Energy Technology;Process Engineering and Energy Technology;Mechanical Engineering / Process Engineering;University of Applied Sciences Bremerhaven;Bremerhaven;English;None;None;Winter semester, Summer semester;3 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4068/
4707;Process Safety and Environmental Engineering (PSEE);Process Safety and Environmental Engineering (PSEE);Mechanical Engineering / Process Engineering;Otto von Guericke University Magdeburg;Magdeburg;English;None;None;Winter semester, Summer semester;3 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4707/
